
Joints
100
,,DanielDay01:World_Torso,,,,,,DanielDay01:Torso_Pelvis,,,DanielDay01:Pelvis_R.Thigh,,,DanielDay01:R.Thigh_R.Shank,,,DanielDay01:R.Shank_R.Foot,,,DanielDay01:Pelvis_L.Thigh,,,DanielDay01:L.Thigh_L.Shank,,,DanielDay01:L.Shank_L.Foot,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
458,0,32.5074,-7.74926,98.0391,86.4136,188.098,1575.45,-17.4136,-7.29895,3.28853,-5.93413,49.0185,-17.9914,-0.637512,-8.39275,4.80009,2.24177,-6.26584,1.4725,19.2509,21.498,-12.5885,-1.85047,7.36341,-3.79486,2.58175,-0.815036,1.51299
459,0,32.0143,-7.68539,97.664,82.0134,168.247,1569.97,-18.2607,-7.60245,3.69901,-6.13869,48.4451,-18.1428,-0.474944,-9.32535,4.01674,2.63098,-4.21318,1.79908,20.4719,21.9619,-11.8722,-2.01819,8.48404,-3.91114,2.4644,-1.54569,1.39017
460,0,31.6191,-7.84969,97.3973,77.8613,148.634,1564.8,-18.6733,-7.83352,4.58509,-6.38487,47.6411,-16.4359,0.401519,-10.4509,2.15545,3.36498,-0.382532,1.84899,21.9522,21.8474,-10.5921,-2.21463,10.286,-4.39882,2.23341,-2.38162,1.22811
461,0,31.3236,-8.23787,97.0898,74.2266,128.545,1560.48,-18.7429,-8.11621,5.6472,-5.92418,47.459,-12.4986,1.38218,-14.3997,-0.331742,2.89955,1.75086,2.38006,23.1483,20.9233,-9.16364,-2.21147,12.9748,-4.85906,1.89626,-3.36925,0.767435
462,0,31.0216,-8.56465,96.7073,70.9194,108.393,1556.3,-18.6754,-8.44044,6.68611,-5.85512,48.0954,-8.94891,2.51445,-19.7924,-1.98789,1.05998,2.43405,4.04417,24.3227,19.6691,-7.69503,-2.15926,16.079,-4.8918,1.7185,-4.46662,0.243881
463,0,30.7785,-8.79076,96.3222,67.9687,88.8967,1550.56,-18.8249,-8.26562,7.89981,-6.56023,48.7866,-8.42785,3.83488,-25.1856,-1.46053,-0.470005,1.6647,5.64158,25.3353,18.8785,-6.55118,-1.90987,19.4633,-4.80258,1.29881,-4.92089,-0.596224
464,0,30.6551,-8.96004,95.8165,65.8579,69.2205,1544.1,-19.1814,-7.78183,9.21781,-7.72777,48.8936,-9.53109,5.11339,-29.5806,0.00725961,-1.14129,0.754704,6.80314,26.2566,18.2461,-5.67319,-1.50269,23.0064,-4.84612,0.940915,-4.12421,-0.620287
465,0,30.6023,-9.08923,95.3242,64.182,49.8024,1537.49,-19.4914,-7.03881,10.6979,-9.15814,47.7454,-11.6284,6.25769,-31.8983,0.887055,-1.1483,-0.124346,6.6502,27.1365,17.824,-5.14763,-1.20078,26.7559,-5.19845,0.781792,-3.9997,-0.546895
466,0,30.5591,-9.23566,95.0394,63.1924,31.6042,1531.36,-19.246,-6.35786,11.9512,-10.5881,46.1929,-13.8674,7.14852,-33.1078,1.7435,-0.409839,-1.10212,6.78697,27.3469,17.2136,-5.00818,-1.05605,30.9084,-5.56919,0.688854,-3.96114,-0.8959
467,0,30.5311,-9.19351,94.9985,62.6935,14.6586,1526.96,-18.3772,-5.99176,12.4803,-11.9255,44.7355,-14.6372,7.91457,-33.7811,2.0552,-0.0301137,-2.12087,6.99371,27.0866,15.7546,-4.70492,-1.09941,35.2086,-6.36742,0.625739,-3.5194,-0.780654
