GRF Observations - Ctrl,GRF Observations - Post
229.7212,218.4059
218.4059,182.6418
182.6418,167.0516
0,78.53712
78.53712,69.6475
69.6475,38.65596
38.65596,37.29065
37.29065,26.257
0,7.080531
0.6808165,126.6429
190.2339,301.7796
165.4772,287.6004
3093.894,228.528
228.5159,134.4673
134.4417,129.9685
129.9548,117.531
117.5036,110.2677
29.76852,69.29582
69.24898,64.11502
64.08972,48.81279
48.77238,52.14386
52.12056,51.31897
51.2909,62.69601
62.68004,69.28805
69.27895,77.87876
77.87435,84.08775
84.086,87.10855
87.10833,89.37252
89.37239,89.36285
89.36284,86.19946
86.19991,85.47769
85.47762,79.9105
79.91214,80.34911
80.3498,76.20483
76.20724,76.42989
76.43179,73.9667
73.96941,73.93179
1475.313,72.33752
72.33881,73.02042
73.02155,76.47841
76.47948,77.77723
77.77804,81.92241
81.92355,81.53928
81.54009,90.56066
90.56178,88.45097
88.45171,97.36664
97.36747,91.79677
91.79724,95.96353
95.96396,89.24398
89.24418,89.44672
89.44688,83.07403
83.07407,81.99534
81.99538,76.71105
76.71104,74.79229
74.79229,69.40368
69.40367,67.57362
67.57362,64.30665
64.30664,65.04176
80.27126,89.5412
89.54119,93.26127
93.26126,93.09205
93.09204,97.29537
97.29538,96.73416
96.73418,99.72279
99.72282,97.91267
97.91277,99.4099
99.41,96.7328
96.73299,96.50256
272.8574,116.5447
0,109.99
754.8362,107.5862
97.64527,68.12405
0.410771,124.0271
18.40088,173.1603
654.9748,121.7557
121.7558,93.7567
0.9733254,112.1706
1080.967,125.6448
0,105.6235
105.6274,84.99858
1.533697,99.2802
111.4319,90.76885
90.7696,78.54346
0.2530169,82.45068
82.45102,76.21198
76.21201,72.08643
72.0866,64.30923
64.30927,64.79243
64.79263,59.95796
59.95805,64.47677
64.47704,61.13681
129.2953,65.88641
202.6229,55.09062
78.22381,64.23791
64.23841,68.07435
135.9004,74.43543
74.43559,70.93001
70.93006,73.85048
175.6799,70.75097
73.8508,71.80103
175.0174,80.27007
80.27001,83.73305
156.8408,79.99881
44.08208,82.31592
0,80.38372
80.38374,78.13507
177.2393,78.53879
78.53881,75.99389
75.99392,75.32525
75.32526,73.90457
73.9046,74.99842
74.99844,74.06455
74.06456,75.39988
75.39988,73.71382
160.4962,73.62258
73.7138,70.47088
70.47084,72.53435
72.53429,72.08889
72.08871,75.02217
75.02203,72.77727
153.8855,73.27166
72.77689,70.42726
70.42706,72.06097
72.06082,73.46315
146.3192,75.38423
75.38408,76.84724
76.84706,77.02042
77.02031,79.46034
79.46018,79.44499
79.44488,82.16275
82.1626,81.13773
81.13762,82.93138
82.93124,80.77962
80.77953,81.49884
81.49874,78.49984
78.49976,78.48784
78.48777,75.23135
75.23128,75.45644
75.4564,72.49835
72.4983,73.87635
73.87634,71.41363
71.41358,74.88036
74.88042,72.8912
72.8912,76.45778
76.45792,74.17815
168.9924,90.2149
230.6204,105.1676
105.1675,108.8545
108.8549,106.8303
106.8302,109.1418
109.1422,108.4329
108.4327,109.8496
109.8498,109.9323
109.9321,109.7793
90.29701,91.40257
74.19884,82.14517
82.13276,163.6472
189.4746,239.7353
256.9017,226.7646
226.7551,137.7979
137.7865,152.4381
152.4335,164.5346
0,68.42981
68.42966,73.02927
73.02934,78.2767
78.27718,77.19751
77.19769,73.20735
139.9166,64.77794
102.5839,77.55996
77.55988,69.81487
69.81471,74.89532
74.89516,67.80359
67.80338,72.48873
72.48868,68.54075
68.54076,73.64251
73.64262,72.11401
72.11414,75.30679
75.30703,74.08267
74.083,75.45869
75.45925,72.02428
72.02494,72.4511
72.45206,67.88881
67.88975,68.4397
68.44091,65.30978
65.31076,66.64243
66.64359,66.49082
66.49158,68.65532
68.65619,71.19248
71.19296,73.2394
73.23994,77.44665
77.44691,79.05714
79.05744,83.94832
83.94845,84.97615
84.97629,89.5359
89.53596,89.95626
89.95631,93.64198
93.64201,93.59094
93.59095,96.30522
96.30522,95.86383
95.86383,97.65165
97.65162,96.74947
96.74948,97.78986
97.7898,96.45766
96.45769,96.87436
96.87428,94.86532
94.86536,94.68681
94.68674,92.03777
92.03785,91.49892
91.49885,88.23356
88.23367,87.50166
87.50162,83.67134
83.67148,82.78217
82.78215,79.05434
79.05449,78.12531
78.12531,74.56505
74.56522,73.91657
73.9166,70.83649
70.83667,70.74335
70.74338,68.04596
